Социологическа агенция,"Дати на
проучване","Брой
допитани",Активност,ИТН,"ГЕРБ
СДС",БСПзБ,ДБ,ДПС,ИБГНИ,ВМРО,Възр.,ПП,"Сигурни
 че ще
гласуват","Нито едно от
посочените",Други,Превес
Harris Owl,5 - 12 October 2021,1010,55.2%,14.4%,24.2%,19.1%,9%,8.7%,4.2%,1.8%,1.9%,14.6%,—,1.7%,0.4%,5.1%
CAM,6 - 10 October 2021,812,—,11.7%,24.2%,15.8%,10.3%,11%,3.2%,0.7%,1.7%,12.8%,—,0.7%,3.7%,8.4%
Alpha Research,4 - 10 October 2021,1123,47.6%,10.4%,23.1%,16.8%,10.9%,9.3%,3.2%,2.1%,2.9%,15.9%,10.6%,—,5.4%,6.3%
Gallup,21 - 26 September 2021,2000,50.6%,12.3%,21.4%,13.4%,12.1%,11.4%,4.1%,2.2%,3.3%,15.2%,—,—,4.6%,6.2%
Market Links,14 - 20 September 2021,1076,57%,14.9%,25.0%,16.0%,13.1%,10.8%,3.6%,—,3.5%,11.9%,10.5%,—,1.1%,9.0%
Barometer,12 - 16 September 2021,810,35.4%,15.1%,25.6%,13.2%,9.2%,11.9%,3.2%,3.8%,3.0%,—,—,—,15.0%,10.5%
Trend,8 – 15 September 2021,1012,53%,17.5%,24.4%,16.6%,8.5%,9.3%,3.8%,2.2%,2.9%,9.1%,—,—,5.7%,6.9%
Alpha Research,8 - 15 September 2021,1017,51.7%,18.6%,23.2%,18.1%,14.5%,10.5%,4.5%,—,3.8%,—,9.8%,—,6.8%,4.6%
Gallup,2 - 10 September 2021,1007,47.1%,15.5%,22.5%,16.1%,15.8%,11.9%,4.8%,2.4%,3.1%,—,—,—,7.9%,6.4%
Market Links,13 - 22 August 2021,1055,52%,17.2%,23.7%,17.2%,18.1%,12%,4.9%,—,4.7%,—,9.5%,—,2.2%,5.6%
Trend,23 – 30 July 2021,1006,—,21.6%,22.4%,14.5%,14.1%,10.2%,4.4%,1.9%,2.9%,—,—,—,8%,0.8%
Market Links,21 – 28 July 2021,1059,48%,22.6%,19.8%,17.9%,17.2%,9.6%,5.4%,2.1%,3.7%,—,8.6%,—,1.4%,2.8%
Parl. July 2021 elections,"July 11, 2021",—,42.19%,23.78%,23.21%,13.22%,12.48%,10.57%,4.95%,3.1%,2.97%,—,1.27%,1.27%,4.45%,0.57%
